data_source,feature_set,horizon,regime,model,mean_rel_loss,n_assets
stock_rv5,MALL,1,calm,ElasticNet,1.1821841499668957,1
stock_rv5,MALL,1,calm,GradientBoosting,1.0694695834964754,1
stock_rv5,MALL,1,calm,HAR,1.0,1
stock_rv5,MALL,1,calm,HARCJ,1.0290497973799182,1
stock_rv5,MALL,1,calm,HARQ,1.0371189010482866,1
stock_rv5,MALL,1,calm,Lasso,1.1878490954685426,1
stock_rv5,MALL,1,calm,LogHAR,1.0763933220607662,1
stock_rv5,MALL,1,calm,NN1,1.0876744597572974,1
stock_rv5,MALL,1,calm,NN2,1.0997709931048023,1
stock_rv5,MALL,1,calm,NN3,1.1098738726649016,1
stock_rv5,MALL,1,calm,RandomForest,1.0758185649701633,1
stock_rv5,MALL,1,calm,Ridge,1.1739586774847768,1
stock_rv5,MALL,1,calm,SHAR,1.0043978655535755,1
stock_rv5,MALL,1,normal,ElasticNet,1.2593429894795074,1
stock_rv5,MALL,1,normal,GradientBoosting,1.0543238347642099,1
stock_rv5,MALL,1,normal,HAR,1.0,1
stock_rv5,MALL,1,normal,HARCJ,1.13846810309116,1
stock_rv5,MALL,1,normal,HARQ,1.026722155690536,1
stock_rv5,MALL,1,normal,Lasso,1.2591052113781627,1
stock_rv5,MALL,1,normal,LogHAR,1.0556420178838726,1
stock_rv5,MALL,1,normal,NN1,1.209829920536881,1
stock_rv5,MALL,1,normal,NN2,1.0848455328634743,1
stock_rv5,MALL,1,normal,NN3,1.0993477382849268,1
stock_rv5,MALL,1,normal,RandomForest,1.0370320430361524,1
stock_rv5,MALL,1,normal,Ridge,1.2429731696706408,1
stock_rv5,MALL,1,normal,SHAR,0.9954799282335581,1
stock_rv5,MALL,1,turbulent,ElasticNet,1.2199624731837408,1
stock_rv5,MALL,1,turbulent,GradientBoosting,1.0980799370326362,1
stock_rv5,MALL,1,turbulent,HAR,1.0,1
stock_rv5,MALL,1,turbulent,HARCJ,1.2500080346853728,1
stock_rv5,MALL,1,turbulent,HARQ,1.066958235134116,1
stock_rv5,MALL,1,turbulent,Lasso,1.2207272916657943,1
stock_rv5,MALL,1,turbulent,LogHAR,1.0586472427910985,1
stock_rv5,MALL,1,turbulent,NN1,1.345187788475163,1
stock_rv5,MALL,1,turbulent,NN2,1.02341873659442,1
stock_rv5,MALL,1,turbulent,NN3,1.2373043195377542,1
stock_rv5,MALL,1,turbulent,RandomForest,1.096886931606796,1
stock_rv5,MALL,1,turbulent,Ridge,1.208455748803473,1
stock_rv5,MALL,1,turbulent,SHAR,0.9896633303426943,1
stock_rv5,MALL,5,calm,ElasticNet,1.0065602495538575,1
stock_rv5,MALL,5,calm,GradientBoosting,0.9418383717125052,1
stock_rv5,MALL,5,calm,HAR,1.0,1
stock_rv5,MALL,5,calm,HARCJ,1.0390330220610347,1
stock_rv5,MALL,5,calm,HARQ,1.0071856050750776,1
stock_rv5,MALL,5,calm,Lasso,1.006239676369734,1
stock_rv5,MALL,5,calm,LogHAR,0.9498966559826563,1
stock_rv5,MALL,5,calm,NN1,0.9661633366241509,1
stock_rv5,MALL,5,calm,NN2,0.9657595570927469,1
stock_rv5,MALL,5,calm,NN3,0.9741522324754318,1
stock_rv5,MALL,5,calm,RandomForest,0.9634965086223801,1
stock_rv5,MALL,5,calm,Ridge,1.0113303991852252,1
stock_rv5,MALL,5,calm,SHAR,1.0073139881606115,1
stock_rv5,MALL,5,normal,ElasticNet,0.9321410381594508,1
stock_rv5,MALL,5,normal,GradientBoosting,0.7819006208295747,1
stock_rv5,MALL,5,normal,HAR,1.0,1
stock_rv5,MALL,5,normal,HARCJ,1.1278224721364143,1
stock_rv5,MALL,5,normal,HARQ,1.1169802713789025,1
stock_rv5,MALL,5,normal,Lasso,0.9294607617705297,1
stock_rv5,MALL,5,normal,LogHAR,0.7401792250102096,1
stock_rv5,MALL,5,normal,NN1,0.8125454099552154,1
stock_rv5,MALL,5,normal,NN2,0.7883396650221138,1
stock_rv5,MALL,5,normal,NN3,0.7789623696200725,1
stock_rv5,MALL,5,normal,RandomForest,0.7887464572842058,1
stock_rv5,MALL,5,normal,Ridge,0.9282415607696094,1
stock_rv5,MALL,5,normal,SHAR,1.3740389529385453,1
stock_rv5,MALL,5,turbulent,ElasticNet,0.9392876275624858,1
stock_rv5,MALL,5,turbulent,GradientBoosting,0.8669732302411705,1
stock_rv5,MALL,5,turbulent,HAR,1.0,1
stock_rv5,MALL,5,turbulent,HARCJ,1.1166373864347339,1
stock_rv5,MALL,5,turbulent,HARQ,1.122934553005114,1
stock_rv5,MALL,5,turbulent,Lasso,0.9399128956942399,1
stock_rv5,MALL,5,turbulent,LogHAR,0.8375487230618246,1
stock_rv5,MALL,5,turbulent,NN1,0.9499124472282141,1
stock_rv5,MALL,5,turbulent,NN2,0.7839853007087154,1
stock_rv5,MALL,5,turbulent,NN3,0.9514455976021565,1
stock_rv5,MALL,5,turbulent,RandomForest,0.9001235372953811,1
stock_rv5,MALL,5,turbulent,Ridge,0.9282148096818489,1
stock_rv5,MALL,5,turbulent,SHAR,1.324518978469072,1
stock_rv5,MALL,22,calm,ElasticNet,0.9949637025551847,1
stock_rv5,MALL,22,calm,GradientBoosting,0.9441253934908228,1
stock_rv5,MALL,22,calm,HAR,1.0,1
stock_rv5,MALL,22,calm,HARCJ,0.973093415414009,1
stock_rv5,MALL,22,calm,HARQ,1.0104765492804335,1
stock_rv5,MALL,22,calm,Lasso,0.9906008291336611,1
stock_rv5,MALL,22,calm,LogHAR,0.9438566616559896,1
stock_rv5,MALL,22,calm,NN1,1.0004682631345203,1
stock_rv5,MALL,22,calm,NN2,1.0069983762103214,1
stock_rv5,MALL,22,calm,NN3,1.0073308107959307,1
stock_rv5,MALL,22,calm,RandomForest,0.9782944283562143,1
stock_rv5,MALL,22,calm,Ridge,1.0077049364411632,1
stock_rv5,MALL,22,calm,SHAR,0.9970340553543547,1
stock_rv5,MALL,22,normal,ElasticNet,1.1194270317350843,1
stock_rv5,MALL,22,normal,GradientBoosting,1.0050083395846616,1
stock_rv5,MALL,22,normal,HAR,1.0,1
stock_rv5,MALL,22,normal,HARCJ,1.2514684269412104,1
stock_rv5,MALL,22,normal,HARQ,1.0438332777303319,1
stock_rv5,MALL,22,normal,Lasso,1.1155387507641699,1
stock_rv5,MALL,22,normal,LogHAR,0.9036475916691138,1
stock_rv5,MALL,22,normal,NN1,0.9814238549325913,1
stock_rv5,MALL,22,normal,NN2,0.9759435256390808,1
stock_rv5,MALL,22,normal,NN3,1.0014981826320621,1
stock_rv5,MALL,22,normal,RandomForest,1.0054413380961333,1
stock_rv5,MALL,22,normal,Ridge,1.1171170815147082,1
stock_rv5,MALL,22,normal,SHAR,1.003821442979193,1
stock_rv5,MALL,22,turbulent,ElasticNet,1.0869085730361583,1
stock_rv5,MALL,22,turbulent,GradientBoosting,1.0461029289360815,1
stock_rv5,MALL,22,turbulent,HAR,1.0,1
stock_rv5,MALL,22,turbulent,HARCJ,1.0278483873318771,1
stock_rv5,MALL,22,turbulent,HARQ,1.2499433434875626,1
stock_rv5,MALL,22,turbulent,Lasso,1.0883812923458576,1
stock_rv5,MALL,22,turbulent,LogHAR,1.0351981209449055,1
stock_rv5,MALL,22,turbulent,NN1,1.1541711806431125,1
stock_rv5,MALL,22,turbulent,NN2,1.152761250263242,1
stock_rv5,MALL,22,turbulent,NN3,1.3662479720144323,1
stock_rv5,MALL,22,turbulent,RandomForest,1.1376120785006565,1
stock_rv5,MALL,22,turbulent,Ridge,1.0758520824638593,1
stock_rv5,MALL,22,turbulent,SHAR,1.2554628975568611,1
stock_rv5,MHAR,1,calm,ElasticNet,1.2764023649560898,1
stock_rv5,MHAR,1,calm,GradientBoosting,1.0570902695199298,1
stock_rv5,MHAR,1,calm,HAR,1.0,1
stock_rv5,MHAR,1,calm,HARCJ,1.0289766363890422,1
stock_rv5,MHAR,1,calm,HARQ,1.0371127025599696,1
stock_rv5,MHAR,1,calm,Lasso,1.2756282808649377,1
stock_rv5,MHAR,1,calm,LogHAR,1.0766332046877225,1
stock_rv5,MHAR,1,calm,NN1,1.1379093591504705,1
stock_rv5,MHAR,1,calm,NN2,1.0652129062522497,1
stock_rv5,MHAR,1,calm,NN3,1.061663138131759,1
stock_rv5,MHAR,1,calm,RandomForest,1.0620961581365636,1
stock_rv5,MHAR,1,calm,Ridge,1.2744219381320798,1
stock_rv5,MHAR,1,calm,SHAR,1.0043984805634234,1
stock_rv5,MHAR,1,normal,ElasticNet,1.3335339274462634,1
stock_rv5,MHAR,1,normal,GradientBoosting,1.0494653969379617,1
stock_rv5,MHAR,1,normal,HAR,1.0,1
stock_rv5,MHAR,1,normal,HARCJ,1.1383883184735055,1
stock_rv5,MHAR,1,normal,HARQ,1.02671800701312,1
stock_rv5,MHAR,1,normal,Lasso,1.331864832539551,1
stock_rv5,MHAR,1,normal,LogHAR,1.0560560077228525,1
stock_rv5,MHAR,1,normal,NN1,1.1596741573200382,1
stock_rv5,MHAR,1,normal,NN2,1.060455244765662,1
stock_rv5,MHAR,1,normal,NN3,1.3671584828926864,1
stock_rv5,MHAR,1,normal,RandomForest,1.0311188319531868,1
stock_rv5,MHAR,1,normal,Ridge,1.3364966053601457,1
stock_rv5,MHAR,1,normal,SHAR,0.9954813474855012,1
stock_rv5,MHAR,1,turbulent,ElasticNet,1.182172698858302,1
stock_rv5,MHAR,1,turbulent,GradientBoosting,1.073923399852704,1
stock_rv5,MHAR,1,turbulent,HAR,1.0,1
stock_rv5,MHAR,1,turbulent,HARCJ,1.249958549208414,1
stock_rv5,MHAR,1,turbulent,HARQ,1.066948227485111,1
stock_rv5,MHAR,1,turbulent,Lasso,1.1824058813067246,1
stock_rv5,MHAR,1,turbulent,LogHAR,1.058634742507935,1
stock_rv5,MHAR,1,turbulent,NN1,1.0562283120026306,1
stock_rv5,MHAR,1,turbulent,NN2,1.053826462974539,1
stock_rv5,MHAR,1,turbulent,NN3,1.4312717097017589,1
stock_rv5,MHAR,1,turbulent,RandomForest,1.0847267056583425,1
stock_rv5,MHAR,1,turbulent,Ridge,1.1770209200156256,1
stock_rv5,MHAR,1,turbulent,SHAR,0.9896638772619905,1
stock_rv5,MHAR,5,calm,ElasticNet,1.1694372096261845,1
stock_rv5,MHAR,5,calm,GradientBoosting,0.9561039539489803,1
stock_rv5,MHAR,5,calm,HAR,1.0,1
stock_rv5,MHAR,5,calm,HARCJ,1.0389157295537326,1
stock_rv5,MHAR,5,calm,HARQ,1.0071823012999386,1
stock_rv5,MHAR,5,calm,Lasso,1.1679283540398828,1
stock_rv5,MHAR,5,calm,LogHAR,0.9499165533255205,1
stock_rv5,MHAR,5,calm,NN1,1.018087754771329,1
stock_rv5,MHAR,5,calm,NN2,0.9440286039564144,1
stock_rv5,MHAR,5,calm,NN3,0.9373015390233974,1
stock_rv5,MHAR,5,calm,RandomForest,0.9614690982948068,1
stock_rv5,MHAR,5,calm,Ridge,1.1726310535413158,1
stock_rv5,MHAR,5,calm,SHAR,1.0073123082069302,1
stock_rv5,MHAR,5,normal,ElasticNet,0.9998482480401788,1
stock_rv5,MHAR,5,normal,GradientBoosting,0.7753406591553834,1
stock_rv5,MHAR,5,normal,HAR,1.0,1
stock_rv5,MHAR,5,normal,HARCJ,1.1277215441288795,1
stock_rv5,MHAR,5,normal,HARQ,1.1169584913369635,1
stock_rv5,MHAR,5,normal,Lasso,0.9995698680610782,1
stock_rv5,MHAR,5,normal,LogHAR,0.7403700075027433,1
stock_rv5,MHAR,5,normal,NN1,0.835023991964364,1
stock_rv5,MHAR,5,normal,NN2,0.7557927596137375,1
stock_rv5,MHAR,5,normal,NN3,0.9267324965119543,1
stock_rv5,MHAR,5,normal,RandomForest,0.7673299075227997,1
stock_rv5,MHAR,5,normal,Ridge,1.0036412786245443,1
stock_rv5,MHAR,5,normal,SHAR,1.3739467385707236,1
stock_rv5,MHAR,5,turbulent,ElasticNet,0.8943983570564225,1
stock_rv5,MHAR,5,turbulent,GradientBoosting,0.8829819195522389,1
stock_rv5,MHAR,5,turbulent,HAR,1.0,1
stock_rv5,MHAR,5,turbulent,HARCJ,1.1165616726364291,1
stock_rv5,MHAR,5,turbulent,HARQ,1.1229156449392672,1
stock_rv5,MHAR,5,turbulent,Lasso,0.8949416206251256,1
stock_rv5,MHAR,5,turbulent,LogHAR,0.8375582903940516,1
stock_rv5,MHAR,5,turbulent,NN1,0.8069369574009574,1
stock_rv5,MHAR,5,turbulent,NN2,0.7869171011351855,1
stock_rv5,MHAR,5,turbulent,NN3,1.1019690206272248,1
stock_rv5,MHAR,5,turbulent,RandomForest,0.8957105776066718,1
stock_rv5,MHAR,5,turbulent,Ridge,0.8893816685828574,1
stock_rv5,MHAR,5,turbulent,SHAR,1.324475812345745,1
stock_rv5,MHAR,22,calm,ElasticNet,1.1657350938998554,1
stock_rv5,MHAR,22,calm,GradientBoosting,0.9586543054330098,1
stock_rv5,MHAR,22,calm,HAR,1.0,1
stock_rv5,MHAR,22,calm,HARCJ,0.9730209606269934,1
stock_rv5,MHAR,22,calm,HARQ,1.0104773637063844,1
stock_rv5,MHAR,22,calm,Lasso,1.1596417344763916,1
stock_rv5,MHAR,22,calm,LogHAR,0.9439126530606484,1
stock_rv5,MHAR,22,calm,NN1,1.0333940390422833,1
stock_rv5,MHAR,22,calm,NN2,0.9586289006320595,1
stock_rv5,MHAR,22,calm,NN3,0.9530980759294599,1
stock_rv5,MHAR,22,calm,RandomForest,0.9575423061519595,1
stock_rv5,MHAR,22,calm,Ridge,1.1711387831993463,1
stock_rv5,MHAR,22,calm,SHAR,0.997035605528304,1
stock_rv5,MHAR,22,normal,ElasticNet,1.1890536387279085,1
stock_rv5,MHAR,22,normal,GradientBoosting,0.9513336983061937,1
stock_rv5,MHAR,22,normal,HAR,1.0,1
stock_rv5,MHAR,22,normal,HARCJ,1.2513495509956483,1
stock_rv5,MHAR,22,normal,HARQ,1.043830211503444,1
stock_rv5,MHAR,22,normal,Lasso,1.1828184934557815,1
stock_rv5,MHAR,22,normal,LogHAR,0.9037897371726463,1
stock_rv5,MHAR,22,normal,NN1,0.9978080261461283,1
stock_rv5,MHAR,22,normal,NN2,0.9197050745265919,1
stock_rv5,MHAR,22,normal,NN3,0.9106324300546759,1
stock_rv5,MHAR,22,normal,RandomForest,0.9437275828103144,1
stock_rv5,MHAR,22,normal,Ridge,1.1942590974000986,1
stock_rv5,MHAR,22,normal,SHAR,1.0038220331023788,1
stock_rv5,MHAR,22,turbulent,ElasticNet,1.0086814178341779,1
stock_rv5,MHAR,22,turbulent,GradientBoosting,1.037693794769519,1
stock_rv5,MHAR,22,turbulent,HAR,1.0,1
stock_rv5,MHAR,22,turbulent,HARCJ,1.027783077213353,1
stock_rv5,MHAR,22,turbulent,HARQ,1.2499169034036783,1
stock_rv5,MHAR,22,turbulent,Lasso,1.0110658804608843,1
stock_rv5,MHAR,22,turbulent,LogHAR,1.035199725626886,1
stock_rv5,MHAR,22,turbulent,NN1,0.9122589722338453,1
stock_rv5,MHAR,22,turbulent,NN2,0.9886664983595462,1
stock_rv5,MHAR,22,turbulent,NN3,1.0286790717572,1
stock_rv5,MHAR,22,turbulent,RandomForest,1.083611509778167,1
stock_rv5,MHAR,22,turbulent,Ridge,1.000624956943949,1
stock_rv5,MHAR,22,turbulent,SHAR,1.255435828470862,1
